Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt8902948,38819,4020,6533,2963,2030,3545
tt8902978,71802,7648,12529,5556,3954,6110
tt8904630,3140,300,500,380,180,360
tt8908432,11008,886,2420,1281,476,697
tt8912936,125461,12661,20570,9513,6699,11018
tt8917170,8131,868,1314,742,477,755
tt8923396,24669,2978,3620,2187,1475,2697
tt8923482,37980,4356,7602,2736,1716,2940
tt8923500,21534,2246,4165,1754,979,1691
tt8929142,49770,5530,7940,3640,2900,5200
tt8936646,59039,5547,11513,4701,3209,4369
tt8943224,15260,1680,2620,920,560,1440
tt8945942,50075,6305,8174,3021,3327,5096
tt8946378,32232,3096,4944,2820,2262,2808
tt8949056,29216,2920,4696,2888,1672,2856
tt8951086,31537,3314,5847,2702,1366,3294
tt8951692,81049,8051,14544,6846,4278,6723
tt8963708,73565,7521,12525,6215,3839,6438
tt8964214,15166,1586,2629,1393,857,1256
tt8969332,57780,6592,10886,4079,2975,5429
tt8970448,59476,6858,9941,4107,3575,6074
tt8972256,62854,6022,11431,5159,3391,4409
tt8974964,54804,5616,9156,3636,2856,5496
tt8976696,31302,3288,5376,2742,1410,2701
tt8980602,56447,6157,8667,4974,3924,5983
tt8991268,69968,7696,12160,5072,3424,7216
tt9000184,71642,8549,10394,4999,5042,8485
tt9000224,38352,4428,6180,2580,2148,3780
tt9005184,78022,9534,10780,5040,4564,8988
tt9016016,97429,10418,16903,8547,5801,9338
tt9016974,40866,4706,6421,2996,2578,3575
tt9024106,18270,2136,2970,1518,858,1914
tt9031484,27560,2680,5060,2060,1280,2200
tt9032400,33258,3366,5220,2568,2316,2970
tt9047474,79120,7240,13780,5200,3300,6700
tt9048840,36652,3752,6230,3066,2324,3766
tt9050310,103698,10566,17460,9378,6444,9162
tt9051908,42908,4735,7315,3602,2043,3543
tt9054192,24149,2582,3987,2052,1539,2272
tt9056192,80388,8542,12404,5468,4549,8792
tt9058654,47952,5138,7428,4096,2871,4613
tt9059704,16069,1683,2525,1357,955,1414
tt9067182,57216,5964,9312,4692,2904,5400
tt9068100,72060,7700,13960,5360,3180,5740
tt9071322,34896,3750,5850,2595,1711,3055
tt9071456,30564,3156,4698,2376,1920,3150
tt9072352,104928,11215,18416,7649,5232,9840
tt9076562,51071,5038,8656,4252,2617,3656
tt9086228,72030,7400,11740,5580,3690,6710
tt9097270,32002,3898,5374,1962,1765,3334
tt9098872,71406,7281,13284,5214,4099,5913
tt9100054,82506,8675,13315,6391,4584,8118
tt9108510,1200,140,260,100,20,60
tt9114286,162392,16629,23588,12164,10945,14850
tt9115530,86985,8611,13446,5737,4755,8585
tt9116358,63270,6426,11520,5796,3798,5634
tt9134216,39970,4074,6425,2940,2184,3990
tt9135318,18483,1896,3414,1353,991,1829
tt9139586,67932,6066,11393,5617,4716,6048
tt9143636,7350,735,1106,691,416,812
tt9147456,32861,3643,5180,2555,1726,3662
tt9148706,26394,2478,4607,2208,1566,1914
tt9173264,51393,5013,8539,4374,2761,4336
tt9173418,56737,6294,9014,4671,3263,5170
tt9179096,42712,4463,7158,3604,2301,3909
tt9182964,108027,12005,17775,8211,6395,9949
tt9184986,65856,6555,10915,6414,4125,5227
tt9185066,33429,3709,5346,2558,2040,3139
tt9185316,90126,8114,13726,5998,4107,8199
tt9193612,47120,5436,7308,3547,3064,5299
tt9196192,54142,5761,9584,4221,3081,5227
